id,name,calories,image_attached
434,"Ackee, canned, drained",151,no
435,"Agar, dried",16,yes
436,"Agar, dried, soaked and drained",2,yes
437,"Alfalfa sprouts, raw",24,yes
438,"Allspice, ground",0,yes
439,"Almonds, flaked and ground",612,yes
440,"Almonds, toasted",579,yes
441,"Almonds, weighed with shells",205,yes
442,"Almonds, whole kernels",554,yes
443,"Amaranth leaves, boiled in unsalted water",16,yes
444,"Amaranth leaves, raw",18,yes
445,Amla,58,yes
446,"Anchovies, canned in oil, drained",191,yes
447,Anise seeds,0,yes
448,"Apple juice concentrate, unsweetened, commerical",223,yes
449,"Apple juice, clear, ambient and chilled",37,yes
450,"Apple sauce, homemade",79,yes
451,"Apples, cooking, baked with sugar, flesh only",69,yes
452,"Apples, cooking, baked with sugar, flesh only, weighed with skin",57,yes
453,"Apples, cooking, baked without sugar, flesh only",47,yes
454,"Apples, cooking, baked without sugar, flesh only, weighed with skin",40,yes
455,"Apples, cooking, raw, flesh only, peeled",37,yes
456,"Apples, cooking, raw, flesh only, weighed with skin and core",27,yes
457,"Apples, cooking, stewed with sugar, flesh only",81,yes
458,"Apples, cooking, stewed without sugar, flesh only",40,yes
459,"Apples, eating, dried",238,yes
460,"Apples, eating, raw, flesh and skin",51,yes
461,"Apples, eating, raw, flesh and skin, weighed with core",43,yes
462,"Apricots, dried",188,yes
463,"Apricots, dried, stewed with sugar",92,yes
464,"Apricots, dried, stewed without sugar",77,yes
465,"Apricots, raw, flesh and skin",31,yes
466,"Apricots, raw, flesh and skin, weighed with stones",29,yes
467,"Apricots, ready-to-eat, semi-dried",161,yes
468,"Apricots, stewed with sugar",72,yes
469,"Apricots, stewed with sugar, weighed with stones",67,yes
470,"Apricots, stewed without sugar",27,yes
471,"Apricots, stewed without sugar, weighed with stones",25,yes
472,"Arrowhead, boiled in unsalted water",91,yes
473,"Arrowhead, raw",107,yes
474,Arrowroot,355,yes
475,"Artichoke, globe, base of leaves and heart, boiled in unsalted water",18,yes
476,"Artichoke, globe, boiled, weighed as served",8,yes
477,"Artichoke, globe, raw",18,yes
478,"Artichoke, Jerusalem, boiled in unsalted water, flesh only",41,yes
479,Asafoetida,0,yes
480,"Asparagus, grilled",25,yes
481,"Asparagus, raw",25,yes
482,"Asparagus, roasted in rapeseed oil",35,yes
483,"Asparagus, steamed",21,yes
484,"Aubergine, flesh and skin, boiled in unsalted water",14,yes
485,"Aubergine, flesh and skin, roasted in rapeseed oil",62,yes
486,"Aubergine, fried in butter",302,yes
487,"Aubergine, fried in corn oil",302,yes
488,"Aubergine, fried in rapeseed oil",302,yes
489,"Aubergine, raw",15,yes
490,"Aubergine, stuffed with lentils and vegetables",64,yes
491,"Aubergine, stuffed with rice",86,yes
492,"Aubergine, stuffed with vegetables, cheese topping",119,yes
493,"Avocado, Fuerte, flesh only",189,yes
494,"Avocado, Fuerte, flesh only, weighed with skin and stone",134,yes
495,"Avocado, Hass, flesh only",171,yes
496,"Avocado, Hass, flesh only, weighed with skin and stone",118,yes
497,"Ayr, raw",75,yes
498,"Babaco, flesh only",17,no
499,"Bacha, raw",123,yes
500,"Bacon loin steaks, lean, grilled",158,yes
501,"Bacon rashers, back, dry-cured, grilled",257,yes
502,"Bacon rashers, back, dry-fried",295,yes
503,"Bacon rashers, back, fat trimmed, grilled",214,yes
504,"Bacon rashers, back, fat trimmed, raw",136,yes
505,"Bacon rashers, back, grilled",287,yes
506,"Bacon rashers, back, grilled crispy",313,yes
507,"Bacon rashers, back, microwaved",307,yes
